source_id,designation,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,distance_pc
4357027756659697664,Gaia DR3 4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,0.5400344,37.79628,2.0164251,3.482232,1.9189217,1.5633104,,-45.34001940987892,-144.43272215287442,,48.99248821782892
4993479684438433792,Gaia DR3 4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,0.7283222,54.808517,2.0899775,3.301706,2.032224,1.2694821,,176.2682926212513,-398.87213472266046,,25.051193267489218
4038055447778237312,Gaia DR3 4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,0.4864683,49.100533,2.1164951,3.742679,1.9154117,1.8272674,,-131.80407046542277,-166.30893037257962,,41.86578720948047
1222646935698492160,Gaia DR3 1222646935698492160,233.67254376294218,26.714295174747274,42.24080076261629,0.97702134,43.234264,2.2693703,2.9421518,2.4125688,0.529583,,118.92724128982546,-87.71096348146563,,23.673793629523573
1563590579347125632,Gaia DR3 1563590579347125632,200.98237336533253,54.92525907860076,40.213284471127004,0.46230182,86.98492,2.282647,2.9681494,2.4338107,0.5343387,,122.46748022957269,-22.68188642875364,,24.867404221060244
4429785739602747392,Gaia DR3 4429785739602747392,236.0675744297602,6.4258326669088035,43.94497411580315,0.46761933,93.97596,2.3253543,3.3184485,1.9836086,1.3348399,,133.92233920144864,45.55042108403326,,22.755730777422116
856096765753549056,Gaia DR3 856096765753549056,165.46097417209683,56.38257749355825,38.60307997876443,1.12847,34.20834,2.3985364,3.0090785,2.515501,0.49357748,,79.9586126663101,32.364540942038154,,25.90466876088904
4473334474604992384,Gaia DR3 4473334474604992384,265.86794661822,4.568012245771951,39.22844495769126,0.20266798,193.56015,2.4423249,3.399839,2.1105976,1.2892413,,-41.79318180686009,159.42988775386635,,25.491706364565864
3501215734352781440,Gaia DR3 3501215734352781440,188.59681758232725,-23.397012233844624,22.00492733579523,0.23327462,94.33057,2.448283,3.3300257,2.2373757,1.0926499,,1.1162392204898848,-56.70396951863153,,45.44436728828949
1625209684868707328,Gaia DR3 1625209684868707328,245.9977069286059,61.514463511632556,35.71632757836309,0.28292015,126.24173,2.494415,3.3004897,2.2034333,1.0970564,,-16.394368866203294,57.09390745268847,,27.998399270080576
5361403934691772160,Gaia DR3 5361403934691772160,161.6928645043898,-49.420476913951866,29.050584144755422,0.29914537,97.11193,2.5133939,3.3215032,2.2191339,1.1023693,,68.53673565077756,-48.81915516222894,,34.4227157367
4076915349846977664,Gaia DR3 4076915349846977664,276.99244340050245,-25.422523033637848,42.91983428306095,0.21284047,201.6526,2.5435061,3.4018164,2.200824,1.2009923,,-46.151553394133586,-185.06736012548174,,23.29925119013489
1297565458994346240,Gaia DR3 1297565458994346240,247.55452931903397,21.48954466071868,22.002254438170677,0.98668313,22.29921,2.547638,3.36776,2.2266295,1.1411304,,-98.82186841087012,-14.869239096336226,,45.449888001710725
3736865265441207424,Gaia DR3 3736865265441207424,195.54291476874843,10.95923674149768,30.210957333166505,0.1907236,158.40178,2.619051,3.4062746,2.2495508,1.1567237,,-273.792912720649,19.803882348563043,,33.10057304613018
2968097043228517120,Gaia DR3 2968097043228517120,82.06131804802973,-20.759815662845018,20.869734045876413,0.20472182,101.94192,2.627176,3.3722863,2.28506,1.0872264,,-5.747658161056199,-83.64984625289725,,47.91627903842823
779106556394253824,Gaia DR3 779106556394253824,167.41547770774767,44.4983642995888,23.227226550456237,0.25128353,92.43434,2.68003,3.5629916,2.2429957,1.3199959,,-62.62009416691988,-27.777557179537723,,43.052923164447186
510204838759030144,Gaia DR3 510204838759030144,21.45661245731054,60.235067611380984,32.02972419177956,0.4002736,80.01958,2.6805298,3.1518147,2.5794432,0.5723715,,296.42007959813117,-49.12702186535588,,31.22099940706484
4683897617110115200,Gaia DR3 4683897617110115200,6.482504988433097,-77.25279546754571,133.71940556671353,0.27199635,491.62204,2.6807318,3.2956264,2.371489,0.92413735,,2218.9845482530773,326.44454180123256,,7.478346136538074
4049975081571729920,Gaia DR3 4049975081571729920,271.45176593069976,-30.424938157908525,32.26965661295192,0.77544624,41.614304,2.7243106,3.5833697,2.3486998,1.2346699,,-48.83893212325556,-204.8603974676837,,30.988863996731677
3557567320183657472,Gaia DR3 3557567320183657472,162.40663105834716,-16.19275976302023,23.794020354103314,0.16950469,140.37381,2.7356641,3.6567402,2.2684374,1.3883028,,92.91161788227743,199.64220188539963,,42.02736591454367
5698015743046182272,Gaia DR3 5698015743046182272,121.8856299797689,-24.304115553778075,51.39988628348321,0.2445377,210.19208,2.7505891,3.302004,2.5121741,0.78982997,,-82.88573139167518,46.92999524626171,,19.45529596086556
