source_id,designation,ra,dec,l,b,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,distance_gspphot,distance_pc
5576281698258280832,Gaia DR3 5576281698258280832,103.6120227925439,-38.20953010943685,248.1785191319875,-15.834468302403804,0.1610429634743224,13.39836,1.5251245,4646.008,2.251,5093.9575,5093.9575
6064018837242750080,Gaia DR3 6064018837242750080,202.4783702741905,-55.05131804392365,308.47094440176386,7.40610540068682,0.1097038811965578,13.365927,1.9175472,5803.07,1.7259,11754.18,11754.18
5824154190907624960,Gaia DR3 5824154190907624960,233.3818992023931,-66.05254196298289,318.384203883171,-8.171162737071661,0.011393657698348152,14.73035,1.719677,4468.2153,2.1686,6709.7695,6709.7695
6061379184708380032,Gaia DR3 6061379184708380032,192.5113204338167,-56.59232576103819,302.73906990150834,6.278902767559103,0.11641387881591453,14.504718,2.159706,4862.009,2.3143,5126.143,5126.143
458732438849389696,Gaia DR3 458732438849389696,35.068744485163684,58.45537955631305,134.34779399344038,-2.4335204962338146,0.2647271828859554,12.730187,2.2278805,4554.511,1.7434,5041.444,5041.444
4109217760111508480,Gaia DR3 4109217760111508480,259.0939714669401,-25.6517260873618,359.1975303080593,7.233666699952234,0.004288692054212395,15.778567,2.2077007,4611.163,2.2892,8805.381,8805.381
2059896865304671232,Gaia DR3 2059896865304671232,301.23712738247065,36.51066640748943,73.15334953308027,2.6234081001554124,0.16642877996799138,15.512543,2.2041416,4921.4316,2.3781,6901.5947,6901.5947
5849899702385353088,Gaia DR3 5849899702385353088,218.11270438316905,-65.51111431224177,313.15192745100705,-4.663643659228558,0.22191374487301907,14.9447365,1.7746344,4662.6006,2.4837,5149.175,5149.175
4041159094273236352,Gaia DR3 4041159094273236352,264.8485127000923,-36.05930864610816,353.2504945474604,-2.633192913587678,0.06107653063468524,15.706474,3.9433584,3882.9678,1.2123,9088.696,9088.696
4508146730737187456,Gaia DR3 4508146730737187456,278.7850592875304,12.578036010141199,42.390534763186714,9.265937538917822,0.18288437109015215,15.314727,1.7259731,4590.3765,2.4708,6052.1304,6052.1304
