source_id,designation,ra,dec,l,b,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,teff_gspphot,distance_pc
3464064026724999936,Gaia DR3 3464064026724999936,178.857369889357,-35.634765293651526,290.30894613129004,25.860361745335,3.5111852420905096,0.014625054,240.08017,12.045489,0.88456535,5568.43,284.8041134407976
6079157188201164160,Gaia DR3 6079157188201164160,188.65317457304351,-51.16826670639745,300.2407027910055,11.615543545368617,4.556247515913217,0.027980544,162.83627,14.860756,1.8543262,4162.217,219.4788576580586
5980743299714582016,Gaia DR3 5980743299714582016,258.3835376528056,-30.462711957954895,354.8808753605242,4.971397504680297,4.460704552601634,0.018292844,243.8497,12.26604,1.0433092,5269.823,224.1798326268361
4777326762253418496,Gaia DR3 4777326762253418496,69.50925367145229,-54.62595421904294,263.13946389207905,-40.92360448523473,2.0089502116491453,0.029701194,67.6387,15.8166275,1.4952269,,497.7724157629078
240666366425160320,Gaia DR3 240666366425160320,47.09168510861541,42.81336826988287,148.02086876827477,-13.289845469282245,3.8998526860912244,0.03165123,123.2133,15.37568,1.996213,3741.4504,256.4199421087077
463039324670143616,Gaia DR3 463039324670143616,46.483163423433325,60.1067390044934,138.95753989622895,1.4881786876103846,3.171898618827558,0.014349617,221.04414,13.5722885,1.2173386,5193.331,315.26858836668436
6851015416046756992,Gaia DR3 6851015416046756992,302.62328291225873,-23.99771613270173,18.509887978583883,-27.411584246482985,2.1485424670127045,0.019201368,111.89528,14.003047,1.2502804,4987.311,465.4318056791227
479355669211232000,Gaia DR3 479355669211232000,74.86954137176012,64.4046200788897,146.0149657606323,13.34364863391781,5.240401317236051,0.026520014,197.60175,14.622476,2.270564,3589.557,190.82507988671196
2893531566241742976,Gaia DR3 2893531566241742976,95.72538873186446,-30.48629448817918,238.15108990781331,-19.06156656599369,2.117340497805331,0.031730395,66.729095,15.570074,1.491478,4474.514,472.29059333466745
3940003474645641472,Gaia DR3 3940003474645641472,198.35653824058028,20.069652242319705,339.58637861037795,81.33138067238202,3.54256950767821,0.015661933,226.1898,12.865838,0.9489689,5274.819,282.2809821607134
3380011890402420096,Gaia DR3 3380011890402420096,104.29850294086135,22.769098886108132,193.02077570883512,11.366414008475294,8.41338604796926,0.029211005,288.02112,12.605854,1.5435562,4392.202,118.85820932243685
953492291719865728,Gaia DR3 953492291719865728,105.32664741444735,45.54442662240112,171.3185493246296,20.62866077587223,2.3461752494856927,0.020648267,113.62577,13.047699,1.0018444,5370.89,426.22561985478745
4266942776131388160,Gaia DR3 4266942776131388160,283.69626937614436,1.3122710197660126,34.48136610859022,-0.14618896276483107,2.0659381659689076,0.031792242,64.98246,15.229461,1.462328,4669.189,484.04159256674
5811796294355729152,Gaia DR3 5811796294355729152,260.52928377480083,-67.3039542050387,324.83009326626996,-16.870153375716818,2.0083767700095345,0.020277742,99.04341,11.460675,0.70338154,6231.8184,497.91454219780314
1653963597561218176,Gaia DR3 1653963597561218176,243.10770894263112,71.34975235642098,104.78212239321263,37.88194807764341,2.4239275359465666,0.035811108,67.68647,14.368368,1.2476587,4684.1514,412.553587172106
5873916025633686144,Gaia DR3 5873916025633686144,221.48756594856783,-64.09737742730535,315.0425524088025,-3.951915767853968,3.6864415625197595,0.01837173,200.65839,14.0588665,1.4414597,,271.2643027267952
2200057384905726592,Gaia DR3 2200057384905726592,336.6545115781463,58.143957275121586,104.76650026414232,0.47427075264110025,4.387127667275543,0.01562975,280.69083,12.974865,1.1782112,4894.2812,227.93957136447128
5613395026070794240,Gaia DR3 5613395026070794240,112.99370656376894,-26.04137504240461,240.553565080837,-3.410343399280661,2.5137097131139976,0.014950452,168.13603,14.13796,1.1479158,4912.9014,397.8184094937495
2195545023536571264,Gaia DR3 2195545023536571264,315.48072223486275,60.98426592545483,98.45763400635322,9.557405156635797,2.6777637431539043,0.010942762,244.70639,13.692277,1.2159424,5445.73,373.44594068712996
5593440848532238208,Gaia DR3 5593440848532238208,112.41955870105723,-30.521139013315576,244.26798525134686,-5.983602795050356,5.39913224819252,0.011519372,468.7002,11.689102,0.95707035,5381.613,185.21494826039358
2810500223384996736,Gaia DR3 2810500223384996736,349.39750352613726,11.012528258284748,88.98655395558674,-45.58343793446317,3.5493564167151304,0.07686979,46.173615,10.646655,0.6853466,6535.797,281.74121801086494
3010871996912288512,Gaia DR3 3010871996912288512,87.47336413612587,-11.012996641208371,216.0322697522202,-18.595962307278928,2.4716655261458884,0.075584434,32.70072,13.8199215,1.2341661,4759.199,404.58548675852495
5911519907357984896,Gaia DR3 5911519907357984896,265.9637239236933,-60.978549381284026,331.78466694700234,-15.857444818293994,2.963773609274228,0.034192603,86.678795,15.452353,1.7707748,4284.6025,337.40768757465287
4507566532201085056,Gaia DR3 4507566532201085056,283.8804343234947,14.90796847147461,46.70382713433262,5.853519620893795,2.092598472201598,0.023658166,88.45142,13.998539,1.1743593,,477.8747634981841
4469141620155257216,Gaia DR3 4469141620155257216,268.4016221544744,2.676203126568591,28.665166859218292,14.078417936646439,2.555353689082082,0.028661907,89.15505,12.026836,0.9078703,6044.361,391.3352598791182
