x,y,flux,a,b,theta,flag
86.93253145350748,0.3482892022928809,1.7764534950256348,0.7370064854621887,0.47640979290008545,0.007451043464243412,2
315.6597629939546,0.3427779654345115,1.7919515371322632,1.2902920246124268,0.46700289845466614,-0.07055239379405975,2
959.9998987256757,0.33299862188393803,110.10748291015625,0.7069076895713806,0.47128599882125854,-0.0003764621797017753,2
1428.9886552772005,0.3588019120868967,3.5892157554626465,1.1913089752197266,0.479634553194046,-0.00340606109239161,2
1558.5223490462897,0.3490515550800676,2.5252597332000732,0.8818933963775635,0.47642782330513,-0.020485948771238327,2
1588.3221359931106,0.3295191172582808,2.0270261764526367,0.8402646780014038,0.4655244052410126,-0.09303605556488037,2
1686.7921127475308,0.37332972601564146,0.7231287956237793,0.7139999866485596,0.4544448256492615,-0.30549660325050354,2
1702.9244686128427,0.35233337882204846,1.4974312782287598,0.7217474579811096,0.477623850107193,-0.015466623939573765,2
1749.1935921115023,0.2980463163560377,1.4681155681610107,0.689382791519165,0.4401932656764984,0.23643933236598969,2
1787.0190353455216,0.3649975606657614,1.870139479637146,0.7210574746131897,0.48140910267829895,-0.008250863291323185,2
1869.1636281649387,0.35074102819071884,4.508696556091309,0.7971266508102417,0.4755178689956665,-0.06265268474817276,2
1994.7600067229728,0.34192841087807707,2.0682575702667236,0.83021479845047,0.47155389189720154,0.07541371136903763,2
196.020282074605,1.2878674668889334,1.4700716733932495,0.6994505524635315,0.639115571975708,0.08483690768480301,2
586.1317512770885,1.1882640764818007,1.652006983757019,0.7459214925765991,0.6588102579116821,-0.730797290802002,2
644.6007526122537,0.9451738334021044,4.185942649841309,0.8859599828720093,0.7265385985374451,-0.02018030360341072,2
739.440514479637,1.0859580848555874,2.7466225624084473,0.8597922325134277,0.7057216763496399,0.2607976496219635,2
757.9413001383517,0.9221171150878451,2.576220750808716,0.7229486703872681,0.7191823720932007,1.4087895154953003,2
806.0282928946388,1.002761490296899,0.9611425995826721,0.6122379302978516,0.5651156306266785,-0.0014086641604080796,2
966.4752114595567,0.989298017848603,1.7619287967681885,0.7307465076446533,0.6705295443534851,0.027349188923835754,2
984.3960498200465,0.8004684934899886,0.9535021185874939,0.6813838481903076,0.4639860987663269,-1.2557240724563599,2
1245.9682254411123,0.3369236664490747,119.6104507446289,0.7433330416679382,0.47461071610450745,-0.012821733020246029,2
1316.5025930097195,0.6076982378560121,2.518538475036621,0.8772279024124146,0.6578940749168396,0.027578391134738922,2
1404.0564556063443,0.39024803363988747,20.953824996948242,0.8755798935890198,0.5316666960716248,0.007321223616600037,2
1973.5444260117506,1.0027186716685847,1.3278857469558716,0.7788880467414856,0.6620259284973145,0.015215660445392132,3
1984.4209739716116,0.955675155544042,3.554529905319214,0.8851264715194702,0.7285025715827942,-0.04067375883460045,2
880.1915345537487,2.1110459427728054,1.5094565153121948,0.7528617978096008,0.6445385813713074,-0.770693302154541,0
1009.3547965865054,2.1128358553256392,2.021808624267578,0.8202863335609436,0.6579849123954773,-0.3590039610862732,0
1263.248458047639,1.899978981353088,3.055108070373535,0.797020435333252,0.709299623966217,0.11928386241197586,0
1307.1860131632486,1.665708309358013,6.16587495803833,0.8496130704879761,0.8209435343742371,-1.354325294494629,2
1513.8408052572504,1.8983294342082484,1.08265221118927,0.6958509087562561,0.5553281307220459,0.7991781234741211,0
1580.071627487717,1.7110043017393273,1.2094985246658325,0.6920289397239685,0.6486251354217529,-0.11701233685016632,0
1662.53415818466,0.5942049064275374,4.2473673820495605,0.9285953044891357,0.7431169152259827,0.38847285509109497,3
1666.5768593187402,0.9939441272287288,46.70954513549805,0.892073392868042,0.7859699130058289,-0.009623178280889988,3
1812.085442824521,2.0568514703589824,2.041419267654419,0.7214065194129944,0.7124776840209961,0.448321133852005,0
1978.748866365006,1.9906463074453375,3.241267204284668,0.9086604714393616,0.70475172996521,-0.38929152488708496,0
